DATA PGTO	VALOR
2003-01-02	1696,9
2003-01-02	1336,6
2003-01-02	1396,43
2003-01-03	8585
2003-01-03	251,5
2003-01-03	105
2003-01-03	200
2003-01-03	2590
2003-01-03	3618,7
2003-01-03	716,4
2003-01-05	70,71
2003-01-05	33,02
2003-01-05	45,55
2003-01-05	448,3
2003-01-06	37
2003-01-06	208,8
2003-01-06	1216
2003-01-06	50
2003-01-07	162,16
2003-01-07	84,67
2003-01-07	21,7
2003-01-07	153,25
2003-01-07	29,3
2003-01-07	7,5
2003-01-07	7,5
2003-01-07	7,5
2003-01-07	7,5
2003-01-07	74,4
2003-01-08	317,67
2003-01-08	99,46
2003-01-08	1042,65
2003-01-08	10
2003-01-08	10
2003-01-08	10
2003-01-08	10
2003-01-08	10
2003-01-08	450
2003-01-09	85,5
2003-01-09	347,5
2003-01-09	52,5
2003-01-09	229
2003-01-09	10
2003-01-09	10
2003-01-09	10
2003-01-09	7,5
2003-01-09	10
2003-01-09	10
2003-01-09	10
2003-01-09	1285
2003-01-10	2978,51
2003-01-10	12,6
2003-01-10	5
2003-01-10	5
2003-01-10	10
2003-01-10	10
2003-01-10	5
2003-01-10	396
2003-01-10	8330
2003-01-10	85
2003-01-10	17195,25
2003-01-10	204,4
2003-01-10	10
2003-01-11	236
2003-01-11	96,8
2003-01-11	140,8
2003-01-11	140,8
2003-01-11	140,8
2003-01-11	140,8
2003-01-11	140,8
2003-01-11	140,8
2003-01-11	140,8
2003-01-11	140,8
2003-01-11	48
2003-01-11	373,2
2003-01-11	3984
2003-01-11	10
2003-01-11	10
2003-01-11	10
2003-01-11	12
2003-01-11	80
2003-01-11	150
2003-01-11	144
2003-01-11	102
2003-01-11	102
2003-01-11	144
2003-01-11	120
2003-01-11	120
2003-01-11	120
2003-01-11	120
2003-01-11	144
2003-01-11	30
2003-01-11	226,05
2003-01-11	7060,9
2003-01-11	9837,02
2003-01-11	41,8
2003-01-11	35,79
2003-01-12	226,05
2003-01-12	27,4
2003-01-13	1270
2003-01-13	46,2
2003-01-13	11080
2003-01-13	3905
2003-01-14	184
2003-01-14	79,4
2003-01-15	12,4
2003-01-15	475,6
2003-01-15	260,1
2003-01-15	725,08
2003-01-16	2200
2003-01-16	350
2003-01-16	45
2003-01-16	717,6
2003-01-17	33,3
2003-01-17	13650
2003-01-17	7440
2003-01-17	472
2003-01-17	203,94
2003-01-17	9262,77
2003-01-17	50,56
2003-01-17	16,73
2003-01-17	10,13
2003-01-17	192,62
2003-01-17	56,55
2003-01-17	12,66
2003-01-17	25,42
2003-01-17	24,05
2003-01-17	159,5
2003-01-17	561
2003-01-17	159,5
2003-01-17	561
2003-01-17	159,5
2003-01-17	319
2003-01-17	3,53
2003-01-17	159,5
2003-01-17	561
2003-01-17	159,5
2003-01-17	159,5
2003-01-17	159,5
2003-01-17	598,13
2003-01-17	561
2003-01-17	6,34
2003-01-17	187
2003-01-17	159,5
2003-01-17	1
2003-01-17	159,5
2003-01-17	187
2003-01-17	159,5
2003-01-17	159,5
2003-01-17	159,5
2003-01-17	1
2003-01-17	159,5
2003-01-17	1
2003-01-17	159,5
2003-01-17	159,5
2003-01-17	159,5
2003-01-17	3,53
2003-01-17	187
2003-01-17	187
2003-01-17	187
2003-01-17	187
2003-01-17	159,5
2003-01-17	159,5
2003-01-17	159,5
2003-01-17	159,5
2003-01-17	159,5
2003-01-17	159,5
2003-01-17	561
2003-01-17	159,5
2003-01-17	159,5
2003-01-17	159,5
2003-01-17	187
2003-01-17	159,5
2003-01-17	159,5
2003-01-17	478,5
2003-01-17	187
2003-01-17	638
2003-01-17	478,5
2003-01-17	159,5
2003-01-17	478,5
2003-01-17	187
2003-01-17	478,5
2003-01-17	187
2003-01-17	3,53
2003-01-17	187
2003-01-17	159,5
2003-01-17	1
2003-01-17	187
2003-01-17	187
2003-01-17	478,5
2003-01-17	478,5
2003-01-17	478,5
2003-01-17	478,5
2003-01-17	478,5
2003-01-17	478,5
2003-01-17	478,5
2003-01-17	478,5
2003-01-17	6323,27
2003-01-17	24971,79
2003-01-17	7286,53
2003-01-17	1063,75
2003-01-17	851
2003-01-17	851
2003-01-17	1063,75
2003-01-17	1063,75
2003-01-17	1276,5
2003-01-17	851
2003-01-17	425,5
2003-01-17	425,5
2003-01-17	425,5
2003-01-17	425,5
2003-01-17	425,5
2003-01-17	425,5
2003-01-17	425,5
2003-01-17	425,5
2003-01-17	425,5
2003-01-17	189,75
2003-01-17	90,2
2003-01-17	1063,75
2003-01-17	1063,75
2003-01-17	1063,75
2003-01-17	1063,75
2003-01-17	805
2003-01-17	425,5
2003-01-17	425,5
2003-01-17	425,5
2003-01-17	425,5
2003-01-17	851
2003-01-17	994,75
2003-01-17	759
2003-01-17	948,75
2003-01-17	23,55
2003-01-17	13,43
2003-01-17	159,5
2003-01-17	187
2003-01-17	159,5
2003-01-17	3,53
2003-01-17	159,5
2003-01-17	159,5
2003-01-17	159,5
2003-01-17	162
2003-01-17	399,96
2003-01-17	3267
2003-01-17	2073,5
2003-01-17	1393,88
